Date,Open,High,Low,Close
23.02.2015,11001.30,11015.40,10935.10,10990.10
20.02.2015,10889.80,10916.80,10759.00,10879.30
19.02.2015,10781.00,10918.40,10726.30,10910.40
18.02.2015,10764.60,10852.60,10764.10,10805.30
17.02.2015,10591.60,10730.10,10526.60,10698.00
16.02.2015,10717.80,10793.10,10679.90,10689.50
13.02.2015,10618.50,10794.90,10606.70,10739.50
12.02.2015,10349.60,10607.10,10328.50,10562.20
11.02.2015,10496.10,10516.50,10342.80,10364.80
10.02.2015,10389.80,10561.40,10338.60,10500.10
09.02.2015,10467.80,10473.30,10289.70,10364.90
06.02.2015,10547.10,10606.80,10497.50,10573.10
05.02.2015,10451.70,10535.50,10388.90,10535.50
04.02.2015,10620.90,10688.00,10497.40,10577.80
03.02.2015,10426.80,10634.20,10414.60,10598.20
02.02.2015,10396.60,10401.00,10136.40,10328.10
30.01.2015,10562.60,10581.60,10336.10,10403.30
29.01.2015,10391.20,10513.10,10320.80,10507.60
28.01.2015,10676.60,10687.00,10395.60,10456.90
27.01.2015,10669.50,10707.10,10528.10,10598.90
26.01.2015,10502.60,10716.90,10451.00,10696.10
23.01.2015,10604.90,10693.00,10532.40,10581.50
22.01.2015,10382.20,10560.90,10339.60,10510.60
21.01.2015,10325.00,10340.30,10147.00,10335.30
20.01.2015,10194.90,10332.30,10186.70,10283.90
19.01.2015,10091.30,10193.80,10036.70,10157.50
16.01.2015,9948.60,10060.20,9882.10,10038.90
15.01.2015,9953.10,10008.90,9646.40,9982.50
14.01.2015,9801.70,10013.80,9778.90,9846.00
13.01.2015,9762.40,9996.10,9757.30,9966.00
12.01.2015,9805.50,9882.10,9682.10,9797.50
09.01.2015,10080.00,10080.00,9610.10,9719.00
08.01.2015,10053.20,10143.00,9970.30,10115.00
07.01.2015,9937.30,10051.20,9836.40,9891.40
06.01.2015,10040.70,10060.80,9871.10,9871.10
05.01.2015,10267.20,10390.80,9977.80,9993.30
02.01.2015,10386.70,10440.30,10232.30,10350.80
31.12.2014,10260.20,10305.80,10253.50,10279.50
30.12.2014,10365.40,10365.40,10269.40,10279.20
29.12.2014,10427.80,10446.30,10216.20,10394.20
24.12.2014,10456.10,10495.90,10437.80,10481.80
23.12.2014,10380.20,10477.70,10314.40,10477.70
22.12.2014,10387.50,10458.00,10294.90,10371.00
19.12.2014,10483.40,10500.10,10186.70,10363.60
18.12.2014,10218.00,10391.30,10167.20,10391.30
17.12.2014,9990.70,10100.50,9916.90,10049.50
16.12.2014,9954.20,10095.10,9661.00,10081.90
15.12.2014,10149.60,10268.20,9900.30,9903.90
12.12.2014,10358.20,10407.50,10127.50,10145.00
11.12.2014,10397.40,10505.80,10322.70,10431.80
10.12.2014,10536.30,10593.30,10347.20,10396.90
09.12.2014,10704.30,10707.30,10461.20,10461.60
08.12.2014,10864.60,10919.30,10805.20,10805.20
05.12.2014,10756.40,10906.10,10718.10,10900.70
04.12.2014,10902.70,10928.30,10587.00,10619.90
03.12.2014,10776.10,10903.10,10754.90,10875.90
02.12.2014,10701.10,10763.00,10653.20,10749.20
01.12.2014,10700.60,10757.60,10648.20,10672.80
28.11.2014,10722.30,10772.20,10656.50,10770.70
27.11.2014,10660.40,10745.40,10629.10,10727.60
26.11.2014,10723.20,10736.40,10610.10,10647.00
