Date,Open,High,Low,Close
16.07.2015,4567.06,4595.02,4558.32,4594.90
15.07.2015,4531.32,4547.18,4517.41,4528.36
14.07.2015,4503.20,4537.21,4500.66,4523.47
13.07.2015,4457.76,4498.74,4456.54,4494.47
10.07.2015,4405.99,4434.11,4394.01,4420.15
09.07.2015,4410.27,4414.43,4351.51,4352.03
08.07.2015,4392.51,4403.13,4346.42,4351.58
07.07.2015,4422.75,4434.91,4344.15,4429.06
06.07.2015,4394.44,4444.41,4394.44,4418.66
02.07.2015,4440.17,4445.83,4417.48,4433.39
01.07.2015,4433.79,4445.90,4409.42,4429.23
30.06.2015,4414.86,4420.50,4381.94,4396.76
29.06.2015,4433.11,4460.08,4377.23,4379.87
26.06.2015,4514.37,4523.97,4469.23,4484.28
25.06.2015,4540.40,4546.15,4508.66,4514.01
24.06.2015,4542.07,4561.64,4523.90,4524.60
23.06.2015,4549.52,4551.77,4529.99,4548.74
22.06.2015,4541.85,4557.98,4534.76,4544.04
19.06.2015,4538.71,4539.49,4511.21,4513.42
18.06.2015,4483.61,4540.69,4483.61,4531.85
17.06.2015,4465.18,4482.27,4441.34,4468.98
16.06.2015,4428.30,4463.20,4426.19,4455.90
15.06.2015,4416.14,4437.97,4396.13,4432.92
12.06.2015,4467.38,4476.21,4449.21,4453.79
11.06.2015,4498.49,4511.32,4483.84,4488.47
10.06.2015,4440.54,4497.51,4435.29,4485.46
09.06.2015,4421.02,4441.62,4392.45,4427.61
08.06.2015,4476.69,4477.83,4423.80,4431.52
05.06.2015,4483.43,4493.43,4452.33,4477.19
04.06.2015,4501.73,4526.21,4475.05,4487.03
03.06.2015,4531.04,4539.36,4512.44,4519.86
02.06.2015,4503.76,4531.08,4486.19,4508.89
01.06.2015,4530.03,4535.43,4488.17,4521.85
29.05.2015,4532.15,4539.57,4499.65,4508.25
28.05.2015,4537.48,4548.24,4523.55,4535.66
27.05.2015,4488.05,4551.53,4479.74,4546.06
26.05.2015,4516.63,4521.85,4456.76,4472.96
22.05.2015,4522.86,4542.46,4522.61,4527.16
21.05.2015,4499.42,4537.28,4495.40,4529.47
20.05.2015,4505.59,4533.92,4484.52,4505.30
19.05.2015,4514.67,4521.85,4498.53,4503.72
18.05.2015,4487.14,4521.01,4483.76,4512.95
15.05.2015,4505.39,4509.13,4482.55,4494.29
14.05.2015,4461.07,4496.25,4448.38,4495.04
13.05.2015,4436.08,4460.54,4421.75,4426.56
12.05.2015,4412.83,4441.40,4380.52,4420.65
11.05.2015,4457.62,4468.76,4437.53,4438.64
08.05.2015,4445.00,4466.17,4441.73,4458.65
07.05.2015,4377.81,4413.73,4373.30,4401.55
06.05.2015,4420.30,4429.96,4349.93,4379.75
05.05.2015,4464.21,4472.23,4407.27,4409.39
04.05.2015,4491.19,4510.47,4480.85,4482.61
01.05.2015,4437.70,4479.06,4435.24,4479.06
30.04.2015,4459.23,4480.36,4395.10,4414.25
29.04.2015,4490.57,4517.01,4463.98,4488.15
28.04.2015,4529.41,4537.15,4479.01,4515.27
27.04.2015,4548.51,4562.33,4516.33,4525.04
24.04.2015,4529.73,4543.64,4517.88,4536.78
23.04.2015,4445.17,4496.08,4444.29,4477.07
22.04.2015,4448.58,4466.84,4419.35,4460.81
21.04.2015,4444.50,4448.68,4430.98,4435.98
20.04.2015,4373.65,4423.88,4373.09,4417.40
17.04.2015,4379.63,4390.31,4333.11,4351.80
16.04.2015,4412.15,4427.22,4408.96,4418.83
15.04.2015,4409.74,4435.28,4406.04,4424.53
